,site_url,domain,category_pred,country_pred,login_navigation_successful,login_url,login_scope,cross_scope_login,login_ui_forced,login_iframe_cross_origin,auth_surface_type,auth_surface_unobservable,auth_form_appeared,auth_form_phase,auth_form_detection_time,password_input_present,password_input_in_shadow_dom,network_password,network_webauthn,credentials_api_used,credentials_create_summary,passkey_setup_endpoint_present,auth_js_supports_passkey,ui_webauthn_keywords_present,shadow_dom_webauthn,local_storage_contains_fido,session_storage_contains_fido,cookies_contain_fido,fedcm_present,fedcm_provider,fedcm_detected_via_api,fido2_indirect_possible,multistep_login,otp_indicators_present,fido2_usage,fido2_confidence,fido2_confidence_diagnosis,validated,cose_algorithms,page_classification,nb_clicks,processing_time
247,https://500px.com/,500px.com,Society,United States of America,True,https://500px.com/login?r=%2Fquests,500px.com,False,True,False,iframe_same_origin,True,True,stabilized,2.007412791997922,True,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,password_only,0.15,Password-only authentication detected (no FIDO2 or OTP).,False,,real_login_page,3,27.25
248,https://about.intastellaraccounts.com/,about.intastellaraccounts.com,Technology & Computing,Denmark,True,https://www.intastellaraccounts.com/SignUp/?continue=my.intastellaraccounts.com&service=Intastellar%20Solutions&entryFlow=bXkuaW50YXN0ZWxsYXJhY2NvdW50cy5jb20=&passive=true&flowName=GeneralOAuthFlow&Entry=authlogin,intastellaraccounts.com,False,True,False,iframe_same_origin,True,True,stabilized,2.009698292000394,True,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,password_only,0.15,Password-only authentication detected (no FIDO2 or OTP).,False,,real_login_page,3,26.32
249,https://about.me,about.me,Society,United States of America,True,https://about.me/login,about.me,False,True,False,iframe_same_origin,False,True,stabilized,2.007508250000683,True,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,password_only,0.15,Password-only authentication detected (no FIDO2 or OTP).,False,,real_login_page,3,25.99
250,https://actionnetwork.org/,actionnetwork.org,Technology & Computing,United States of America,True,https://actionnetwork.org/users/sign_in,actionnetwork.org,False,True,False,iframe_same_origin,False,True,stabilized,2.007462042001862,True,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,password_only,0.15,Password-only authentication detected (no FIDO2 or OTP).,False,,real_login_page,3,43.0
251,https://activecollab.com/,activecollab.com,Business,United States of America,True,https://activecollab.com/login,activecollab.com,False,True,False,iframe_same_origin,False,True,stabilized,2.010707582998293,True,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,password_only,0.15,Password-only authentication detected (no FIDO2 or OTP).,False,,real_login_page,2,30.2
252,https://app.dext.com/,app.dext.com,Technology & Computing,Ireland,True,https://www.greenback.com/auth/signin?utm_source=dext_website,greenback.com,True,True,False,iframe_same_origin,True,True,stabilized,2.008961374998762,True,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,password_only,0.15,Password-only authentication detected (no FIDO2 or OTP).,False,,real_login_page,2,26.5
253,https://arca.live/,arca.live,Hobbies & Interests,United States of America,True,https://arca.live/u/login?goto=%2F,arca.live,False,False,False,iframe_same_origin,False,True,stabilized,2.0083979579976585,True,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,password_only,0.15,Password-only authentication detected (no FIDO2 or OTP).,False,,real_login_page,0,26.41
254,https://arconnet.com/,arconnet.com,Technology & Computing,India,True,https://arconnet.com/wp-login.php,arconnet.com,False,False,False,iframe_same_origin,False,True,stabilized,2.008715124997252,True,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,password_only,0.15,Password-only authentication detected (no FIDO2 or OTP).,False,,real_login_page,1,124.82
255,https://aternos.org/,aternos.org,Hobbies & Interests,Germany,True,https://aternos.org/go/,aternos.org,False,True,False,iframe_same_origin,True,True,stabilized,2.0096520829974907,True,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,password_only,0.15,Password-only authentication detected (no FIDO2 or OTP).,False,,real_login_page,3,24.39
256,https://awardwallet.com/,awardwallet.com,Personal Finance,United States of America,True,https://awardwallet.com/register,awardwallet.com,False,True,False,iframe_same_origin,True,True,stabilized,2.0103204580009333,True,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,password_only,0.15,Password-only authentication detected (no FIDO2 or OTP).,False,,real_login_page,2,27.31
